timeindex,acaes_SN,hydrogen_SN,li-ion_SN,phs_SN,redox_SN,tes_SN
2050-01-11 10:00:00+00:00,0.0,0.0,3987.743,485.53458,0.0,11966.686
2050-01-11 11:00:00+00:00,0.0,0.0,4285.5637,542.75036,0.0,11455.315
2050-01-11 12:00:00+00:00,0.0,0.0,4478.4316,600.0,0.0,10943.944
2050-01-11 13:00:00+00:00,0.0,0.0,4159.8898,568.01581,0.0,10432.572
2050-01-11 14:00:00+00:00,0.0,0.0,4066.1097,486.76911,0.0,9921.2013
2050-01-11 15:00:00+00:00,0.0,0.0,3263.2506,405.55627,0.0,9409.8302
2050-01-11 16:00:00+00:00,0.0,0.0,2447.4379,324.37729,0.0,8898.4591
2050-01-11 17:00:00+00:00,0.0,0.0,1631.6253,243.23218,0.0,8387.088
2050-01-11 18:00:00+00:00,0.0,0.0,815.81264,162.12092,0.0,7875.7169
2050-01-11 19:00:00+00:00,0.0,0.0,0.0,81.04353,0.0,7364.3458
2050-01-11 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6852.9747
2050-01-11 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,6341.6036
2050-01-11 22:00:00+00:00,58.856073,0.0,0.0,57.588258,0.0,6755.8142
2050-01-11 23:00:00+00:00,363.99906,0.0,170.71609,115.21038,0.0,7170.0248
2050-01-12 00:00:00+00:00,669.14205,0.0,921.26372,172.86636,0.0,7584.2354
2050-01-12 01:00:00+00:00,974.28505,0.0,1671.8114,230.52161,0.0,7998.446
2050-01-12 02:00:00+00:00,1279.428,0.0,2422.359,288.17612,28.677407,8412.6566
2050-01-12 03:00:00+00:00,1584.571,0.0,3172.9066,345.8299,70.268271,8826.8672
2050-01-12 04:00:00+00:00,1889.714,0.0,3923.4543,403.48295,111.85914,9241.0778
2050-01-12 05:00:00+00:00,2194.857,0.0,4674.0019,461.13526,153.45,9655.2884
2050-01-12 06:00:00+00:00,2500.0,0.0,5086.25,518.78684,153.45,9407.3208
2050-01-12 07:00:00+00:00,2500.0,0.0,5086.25,576.43769,153.45,9195.9586
2050-01-12 08:00:00+00:00,2500.0,0.0,5086.25,495.52374,153.45,8684.5875
2050-01-12 09:00:00+00:00,2500.0,0.0,5086.25,553.17312,153.45,8173.2164
2050-01-12 10:00:00+00:00,2500.0,0.0,5086.25,542.35209,153.45,7661.8453
2050-01-12 11:00:00+00:00,2500.0,0.0,5086.25,600.0,153.45,7150.4741
2050-01-12 12:00:00+00:00,2500.0,0.0,5086.25,597.1521,153.45,6639.103
2050-01-12 13:00:00+00:00,2081.9959,0.0,4861.8832,516.23448,153.45,6127.7319
2050-01-12 14:00:00+00:00,1663.9918,0.0,4550.2642,435.31613,101.46142,5616.3608
2050-01-12 15:00:00+00:00,1254.0123,0.0,4345.9936,354.39705,51.98858,5104.9897
2050-01-12 16:00:00+00:00,1254.0123,0.0,3792.3702,412.04129,51.98858,4593.6186
2050-01-12 17:00:00+00:00,1254.0123,0.0,3473.5895,331.12074,51.98858,4082.2475
2050-01-12 18:00:00+00:00,1254.0123,0.0,3473.5895,250.19946,51.98858,3967.3405
2050-01-12 19:00:00+00:00,836.00819,0.0,3088.3012,307.8415,51.98858,3553.7422
2050-01-12 20:00:00+00:00,418.0041,0.0,2703.0939,226.91875,51.98858,3553.7422
2050-01-12 21:00:00+00:00,0.0,0.0,1887.2813,145.99526,0.0,3553.7422
2050-01-12 22:00:00+00:00,0.0,0.0,1071.4686,161.85064,0.0,3553.7422
2050-01-12 23:00:00+00:00,0.0,0.0,495.09371,80.925685,0.0,3553.7422
2050-01-13 00:00:00+00:00,0.0,0.0,495.09371,0.0,0.0,3553.7422
2050-01-13 01:00:00+00:00,0.0,0.0,495.09371,0.0,0.0,3553.7422
2050-01-13 02:00:00+00:00,0.0,0.0,495.09371,0.0,0.0,3553.7422
2050-01-13 03:00:00+00:00,0.0,0.0,495.09371,0.0,0.0,3553.7422
2050-01-13 04:00:00+00:00,0.0,0.0,495.09371,4.6933428,0.0,3553.7422
2050-01-13 05:00:00+00:00,0.0,0.0,495.09371,62.248991,0.0,3553.7422
2050-01-13 06:00:00+00:00,0.0,0.0,495.09371,0.0,0.0,3553.7422
2050-01-13 07:00:00+00:00,0.0,0.0,197.62209,0.0,0.0,3553.7422
2050-01-13 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 10:00:00+00:00,0.0,0.0,0.0,57.472917,0.0,3553.7422
2050-01-13 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 13:00:00+00:00,0.0,0.0,0.0,57.423278,0.0,3553.7422
2050-01-13 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 15:00:00+00:00,0.0,0.0,0.0,57.390186,0.0,3553.7422
2050-01-13 16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3553.7422
2050-01-13 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,3410.8453
2050-01-13 18:00:00+00:00,0.0,0.0,0.0,27.670926,0.0,2899.4742
2050-01-13 19:00:00+00:00,0.0,0.0,0.0,84.994927,0.0,3313.6848
2050-01-13 20:00:00+00:00,73.058148,0.0,0.0,142.30238,0.0,3727.8954
2050-01-13 21:00:00+00:00,378.20114,0.0,749.97364,199.59329,0.0,4142.1059
